gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,12,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card,97.99,1175.88,Yes
Female,0,No,Yes,63,Yes,Yes,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,31.92,2010.96,Yes
Female,1,No,Yes,60,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,107.44,6446.4,Yes
Male,0,Yes,No,31,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card,32.79,1016.49,Yes
Female,0,No,No,11,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,One year,No,Bank transfer,110.43,1214.73,Yes
Female,0,No,Yes,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,41.98,1679.2,No
Male,0,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,58.83,3823.95,Yes
Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card,96.01,672.07,No
Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer,31.37,1819.46,No
Female,1,No,No,24,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,117.47,2819.28,Yes
Male,0,No,Yes,4,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,94.91,379.64,Yes
Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,46.05,2026.2,Yes
Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,108.76,108.76,Yes
Male,0,Yes,No,41,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card,24.15,990.15,Yes
Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,21.09,780.33,No
Male,0,Yes,No,2,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,52.37,104.74,Yes
Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Electronic check,30.15,1356.75,No
Male,0,Yes,No,21,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,101.99,2141.79,Yes
Male,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card,58.45,1870.4,No
Male,0,Yes,No,31,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,81.96,2540.76,Yes
Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,102.29,1636.64,Yes
Female,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Credit card,35.3,1941.5,No
Female,0,No,No,2,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,117.37,234.74,Yes
Male,1,Yes,No,69,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,85.15,5875.35,No
Female,1,Yes,No,48,Yes,No,No,No,No,No,No,Yes,No,One year,No,Electronic check,26.54,1273.92,No
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,74.03,3997.62,Yes
Female,0,No,Yes,30,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,107.09,3212.7,No
Female,0,No,No,20,Yes,Yes,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.79,2195.8,Yes
Male,0,No,No,15,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer,94.78,1421.7,No
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,117.22,1875.52,Yes
Male,0,No,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,69.9,0.0,No
Female,1,Yes,No,71,Yes,Yes,No,No internet service,No,No,Yes,No,Yes,Two year,No,Bank transfer,60.31,4282.01,No
Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,42.09,2693.76,Yes
Female,0,Yes,No,65,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card,65.75,4273.75,Yes
Male,0,Yes,No,36,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,105.73,3806.28,Yes
Female,0,Yes,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,25.44,585.12,Yes
Male,1,Yes,No,61,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,42.4,2586.4,Yes
Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,117.16,2343.2,Yes
Male,1,Yes,Yes,36,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Bank transfer,99.04,3565.44,Yes
Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,47.84,1626.56,Yes
Male,0,No,Yes,37,No,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,One year,No,Bank transfer,103.83,3841.71,Yes
Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,34.43,1790.36,Yes
Female,0,Yes,No,14,Yes,No phone service,No,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,86.68,1213.52,Yes
Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,39.93,1637.13,Yes
Female,0,No,No,3,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,73.1,219.3,No
Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,83.19,3161.22,Yes
Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,93.36,2053.92,Yes
Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card,110.68,1549.52,No
Female,1,Yes,Yes,11,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,Yes,Credit card,99.35,1092.85,Yes
Female,1,Yes,No,69,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,49.82,3437.58,No
Female,0,No,Yes,53,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,One year,Yes,Bank transfer,104.31,5528.43,Yes
Female,0,No,No,37,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,26.27,971.99,Yes
Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,93.64,2528.28,Yes
Female,0,No,No,18,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card,68.33,1229.94,No
Female,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer,63.96,4349.28,Yes
Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,90.05,5673.15,Yes
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,26.06,78.18,No
Female,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer,107.3,965.7,Yes
Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,45.9,504.9,Yes
Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,One year,Yes,Mailed check,101.42,6896.56,No
Female,0,Yes,Yes,6,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,52.27,313.62,Yes
Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,93.4,4016.2,Yes
Female,0,Yes,No,22,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,111.93,2462.46,Yes
Female,0,No,No,1,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,89.13,89.13,Yes
Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card,43.48,1565.28,No
Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,Two year,No,Bank transfer,89.99,6119.32,Yes
Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card,90.0,1710.0,Yes
Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,112.44,4834.92,No
Female,0,No,Yes,69,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,45.63,3148.47,Yes
Female,0,No,Yes,50,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,116.94,5847.0,Yes
Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,88.52,2655.6,Yes
Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,One year,Yes,Credit card,51.83,2073.2,No
Male,1,Yes,Yes,57,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card,70.98,4045.86,No
Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,96.18,384.72,Yes
Female,1,Yes,No,32,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,24.74,791.68,Yes
Male,0,No,No,42,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,53.62,2252.04,No
Female,0,Yes,No,18,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,Two year,Yes,Credit card,108.69,1956.42,Yes
Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,30.69,951.39,No
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,72.8,145.6,Yes
Male,0,No,No,0,Yes,No,No,No,No,Yes,No,No internet service,Yes,Two year,No,Bank transfer,77.56,0.0,No
Male,0,Yes,Yes,40,Yes,No,DSL,No,No,No,No internet service,No,No,One year,Yes,Electronic check,48.7,1948.0,No
Female,0,No,No,47,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,60.43,2840.21,Yes
Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer,111.02,4218.76,No
Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,26.04,104.16,No
Female,1,Yes,No,10,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,36.14,361.4,Yes
Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,110.12,2312.52,Yes
Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,37.93,2389.59,Yes
Male,0,Yes,No,11,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,One year,Yes,Mailed check,37.43,411.73,No
Male,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,78.45,4079.4,Yes
Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,118.44,6395.76,Yes
Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,64.7,3364.4,Yes
Male,0,Yes,Yes,20,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Mailed check,72.24,1444.8,Yes
Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer,102.64,1847.52,Yes
Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,89.64,6095.52,Yes
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,119.6,8491.6,Yes
Male,0,Yes,No,65,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,81.27,5282.55,Yes
Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Electronic check,61.97,3594.26,No
Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.36,2561.28,Yes
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,118.75,6887.5,Yes
Female,1,No,No,22,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,100.84,2218.48,Yes
Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card,101.97,203.94,No
Male,1,No,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,39.44,2169.2,No
Male,0,Yes,No,57,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,66.04,3764.28,No
Male,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card,22.27,1358.47,Yes
Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,73.44,1248.48,Yes
Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Credit card,27.38,1642.8,No
Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,39.7,1429.2,No
Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card,48.2,2554.6,No
Male,1,No,No,64,Yes,No,No,No,No,No,No,Yes,No internet service,One year,Yes,Credit card,101.72,6510.08,Yes
Male,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Two year,No,Mailed check,30.25,393.25,No
Male,1,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,110.74,442.96,Yes
Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,76.63,4674.43,Yes
Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.87,0.0,Yes
Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,118.69,7358.78,Yes
Male,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer,20.21,1333.86,No
Female,0,Yes,No,19,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,36.29,689.51,Yes
Male,0,No,Yes,42,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,38.39,1612.38,Yes
Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,106.82,4379.62,Yes
Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card,54.78,3725.04,Yes
Female,1,Yes,Yes,38,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,Two year,Yes,Electronic check,103.49,3932.62,No
Female,0,No,No,61,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,24.21,1476.81,Yes
Male,1,No,No,47,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,115.86,5445.42,Yes
Female,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,105.37,526.85,Yes
Male,0,No,No,41,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,67.59,2771.19,No
Male,0,Yes,No,57,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,35.29,2011.53,Yes
Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card,42.37,1779.54,No
Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer,42.78,385.02,Yes
Male,0,Yes,No,38,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,90.28,3430.64,No
Male,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,57.49,689.88,Yes
Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,20.31,771.78,Yes
Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,One year,Yes,Electronic check,58.41,584.1,No
Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,77.19,1157.85,No
Male,0,No,No,32,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,25.38,812.16,Yes
Male,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,75.12,4432.08,Yes
Male,0,No,No,58,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,97.69,5666.02,Yes
Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,76.42,3821.0,Yes
Male,0,No,Yes,14,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,53.14,743.96,No
Male,0,Yes,Yes,42,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,56.11,2356.62,Yes
Female,0,No,No,26,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,63.04,1639.04,Yes
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,104.75,5761.25,Yes
Male,0,Yes,Yes,59,Yes,No,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.17,1367.03,Yes
Male,0,Yes,No,69,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card,55.44,3825.36,No
Female,1,No,Yes,46,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No,Two year,Yes,Credit card,115.94,5333.24,No
Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer,103.12,721.84,Yes
Male,0,No,Yes,62,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,33.48,2075.76,Yes
Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,55.49,332.94,No
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,21.8,21.8,No
Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,92.96,1487.36,Yes
Male,0,Yes,No,3,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,30.36,91.08,No
Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.59,1464.75,Yes
Male,0,Yes,No,71,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,110.3,7831.3,Yes
Female,0,Yes,Yes,68,Yes,No,DSL,No,No,Yes,Yes,No internet service,No,Two year,No,Credit card,33.67,2289.56,No
Female,0,No,No,4,Yes,No phone service,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,52.57,210.28,Yes
Female,1,No,No,4,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.56,406.24,Yes
